City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Comodoro Rivadavia,AR,84.06,clear sky,-45.8667,-67.5,Austral Hotel
7,Vaini,TO,86.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
9,Kapaa,US,80.58,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
15,Rikitea,PF,78.66,overcast clouds,-23.1203,-134.9692,People ThankYou
19,Faanui,PF,81.14,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
20,Mahebourg,MU,80.26,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
22,Bambous Virieux,MU,80.22,moderate rain,-20.3428,57.7575,Casa Tia Villa
25,Daru,PG,79.41,overcast clouds,-9.0763,143.2092,Daru Lodge
27,Arraial Do Cabo,BR,76.96,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
33,Makakilo City,US,80.69,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
35,Vila Velha,BR,80.55,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
39,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
44,Caravelas,BR,77.76,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
46,Carnarvon,AU,77.07,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
52,Puerto Ayora,EC,82.36,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
53,Karratha,AU,81.97,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
55,Gamba,GA,76.98,moderate rain,-2.65,10.0,
58,Cidreira,BR,75.67,clear sky,-30.1811,-50.2056,Hotel Castelo
61,Bengkulu,ID,76.14,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
65,Saint-Philippe,RE,80.19,heavy intensity rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
68,Le Port,RE,80.6,moderate rain,-20.9373,55.2919,KORBEY D'OR OUEST
69,Cabo San Lucas,MX,75.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
72,Saint-Joseph,RE,79.18,heavy intensity rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
76,Cuajinicuilapa,MX,83.34,clear sky,16.4667,-98.4167,Pozo S. XVI
79,Atuona,PF,78.39,light rain,-9.8,-139.0333,Villa Enata
80,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
84,Hithadhoo,MV,81.61,scattered clouds,-0.6,73.0833,Scoop Guest House
85,Hilo,US,80.33,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
89,Nicoya,CR,87.35,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
91,Mar Del Plata,AR,79.09,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
92,Boende,CD,76.75,overcast clouds,-0.2167,20.8667,
98,Vao,NC,77.83,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
101,Ogaminana,NG,78.03,few clouds,7.5946,6.2248,Billy Guest Inn
107,Bull Savanna,JM,75.52,clear sky,17.8868,-77.5902,Big Red's
109,Ascension,US,78.06,scattered clouds,30.2169,-90.9001,Highland Inn
115,Kavaratti,IN,79.39,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
129,Ahipara,NZ,75.31,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
130,Seminole,US,75.47,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering
133,Byron Bay,AU,76.87,light rain,-28.65,153.6167,Backpackers Inn
147,Butaritari,KI,81.66,light rain,3.0707,172.7902,Isles Sunset Lodge
150,Vieux-Habitants,GP,78.37,clear sky,16.0589,-61.7659,Gîtes Dardanelle
151,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
152,San Rafael,AR,78.48,light rain,-34.6177,-68.3301,Hotel San Rafael
153,Richards Bay,ZA,76.87,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
154,Santa Isabel Do Rio Negro,BR,78.01,overcast clouds,-0.4139,-65.0192,Hotel GSA
155,Kavieng,PG,78.96,light rain,-2.5744,150.7967,Nusa Island Retreat
156,Samarai,PG,81.59,overcast clouds,-10.6167,150.6667,Nuli Sapi
158,Banjar,ID,76.91,overcast clouds,-8.19,114.9675,The Hamsa Resort
162,Kismayo,SO,78.58,overcast clouds,-0.3582,42.5454,Agan-Hotel
168,Souillac,MU,80.37,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
172,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
174,Inhambane,MZ,75.88,few clouds,-23.865,35.3833,Oceano
176,Panguna,PG,76.77,light rain,-6.3164,155.4848,
177,Kuching,MY,75.42,few clouds,1.55,110.3333,The Ranee Boutique Suites
178,Monrovia,LR,76.77,clear sky,6.3005,-10.7969,Sunset Inn
179,Mackay,AU,87.67,scattered clouds,-21.15,149.2,International Lodge Motel
191,Kailua,US,82.08,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
195,Port Hedland,AU,78.85,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
200,Phuket,TH,79.02,few clouds,8.0,98.25,The Surin
202,Nouakchott,MR,80.53,clear sky,18.0858,-15.9785,HOTEL IMAN
203,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
204,Port-Gentil,GA,80.71,few clouds,-0.7193,8.7815,Fengshui Residence
206,Gold Coast,AU,83.16,overcast clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
209,Itupiranga,BR,75.52,scattered clouds,-5.1347,-49.3267,Hotel Panorama
210,Quatre Cocos,MU,80.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
211,Sarangani,PH,78.24,overcast clouds,5.4033,125.4636,Ballistic Islet
219,Guapiles,CR,87.44,few clouds,10.2159,-83.7866,Pachira Lodge
227,Ixtapa,MX,75.22,clear sky,20.7,-105.2,Hotel Plaza Providencia
231,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
232,The Valley,AI,78.94,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
233,Belmonte,BR,81.1,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
238,San Cristobal,VE,78.98,few clouds,7.7669,-72.225,Posada Villaven C.A.
253,Dingle,PH,75.81,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
256,Moron,AR,87.69,broken clouds,-34.6534,-58.6198,Hotel Morón
270,Alofi,NU,78.69,shower rain,-19.0595,-169.9187,Taloa Heights
274,Coari,BR,76.12,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
275,Oussouye,SN,78.98,scattered clouds,12.485,-16.5469,Auberge du Routard
276,Yaan,NG,81.55,clear sky,7.3833,8.5667,
277,Tomatlan,MX,81.0,clear sky,19.9333,-105.25,El Salvial
278,Takoradi,GH,80.02,clear sky,4.8845,-1.7554,Raybow International Hotel
283,Businga,CD,79.68,broken clouds,3.3333,20.8833,
296,Padang,ID,76.78,broken clouds,-0.9492,100.3543,Mercure Padang
299,Namatanai,PG,80.24,light rain,-3.6667,152.4333,Seagulls Inn Namatani
305,Pisco,PE,77.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
307,Bluefields,NI,82.47,scattered clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
313,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
317,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
318,Meulaboh,ID,75.81,broken clouds,4.1363,96.1285,Kost Pria
321,Ambon,ID,77.14,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
324,Kilindoni,TZ,80.91,overcast clouds,-7.9139,39.6668,Bustani B&B
330,Geraldton,AU,84.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
337,Banda Aceh,ID,76.93,scattered clouds,5.5577,95.3222,Sulthan Hotel International
344,Angoram,PG,77.81,overcast clouds,-4.0625,144.0661,
351,Salinopolis,BR,78.44,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
352,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
353,Garissa,KE,79.5,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
356,Muisne,EC,78.91,light rain,0.6,-80.0333,Quinta Samay
361,Touros,BR,83.3,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
364,San-Pedro,CI,79.3,overcast clouds,4.7485,-6.6363,Hotel Maria
365,Taytay,PH,78.73,broken clouds,14.5678,121.1394,Mariposa Budget Hotel Taytay
370,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
371,Boa Vista,BR,87.78,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
374,Puerto Leguizamo,CO,81.54,overcast clouds,-0.1934,-74.7819,la casona de juancho
376,Acari,PE,75.88,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
379,Labuhan,ID,77.47,overcast clouds,-6.8844,112.2051,DoubleFAG
380,Ranong,TH,76.95,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
383,Bairiki,KI,80.6,light rain,1.3292,172.9752,Tarawa Boutique Hotel
385,Logon,PH,78.62,overcast clouds,11.3303,124.1146,Tepanee Beach Resort
393,Sertania,BR,81.27,overcast clouds,-8.0736,-37.2644,Hotel Esperança
410,Socoltenango,MX,75.87,clear sky,16.2167,-92.25,Canto del Agua Ecolodge
411,Le Marin,MQ,78.78,clear sky,14.4721,-60.8697,Résidence des îles
414,Alcantara,BR,82.6,overcast clouds,-2.4089,-44.4147,Pousada da Josefa
415,Aitape,PG,78.73,overcast clouds,-3.1374,142.3475,
421,Carutapera,BR,75.92,overcast clouds,-1.195,-46.02,Lidera
422,Saint-Pierre,RE,80.28,light rain,-21.3393,55.4781,Lindsey Hôtel
435,Bria,CF,79.47,overcast clouds,6.5423,21.9863,WFP Guesthouse
441,Bahia Blanca,AR,84.49,overcast clouds,-38.7196,-62.2724,Hotel Argos
443,Toamasina,MG,77.0,scattered clouds,-18.1667,49.3833,Hotel H1
446,Palembang,ID,77.09,mist,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
447,Batticaloa,LK,76.14,broken clouds,7.7102,81.6924,Grand Star Guest House
449,Luanda,AO,75.2,scattered clouds,-8.8368,13.2343,Hotel Fórum
456,La Libertad,EC,83.86,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
461,Bubaque,GW,77.97,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
464,Las Lomas,PA,85.41,few clouds,8.4333,-82.4,Hotel Castilla
470,Pozo Colorado,PY,92.64,broken clouds,-23.4923,-58.7972,Hospedaje la Amistad
472,Carmelo,UY,84.16,overcast clouds,-33.9892,-58.2856,Los Muelles Boutique Hotel
479,Gizo,SB,82.49,moderate rain,-8.103,156.8419,Imagination Island
496,Porto Walter,BR,79.9,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
510,Grand Baie,MU,80.46,light rain,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
512,San Patricio,US,78.78,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
529,Cap Malheureux,MU,80.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
530,Buala,SB,81.88,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
531,Lima,PE,76.14,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
537,Presidencia Roque Saenz Pena,AR,95.58,broken clouds,-26.7852,-60.4388,Hotel Gualok
541,Kuala Kedah,MY,75.6,broken clouds,6.1,100.3,Artini Homestay
543,Harper,LR,79.14,overcast clouds,4.375,-7.7169,Screensaver
548,Grand Gaube,MU,80.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
552,Trinidad,BO,75.76,broken clouds,-14.8333,-64.9,Hotel Piesta
553,Acarau,BR,79.66,broken clouds,-2.8856,-40.12,castelo pizzaria
559,Gboko,NG,80.33,clear sky,7.3179,8.9951,Mavillah Apartment and Suites
560,Lorengau,PG,80.26,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
561,Bouillante,GP,78.03,clear sky,16.1304,-61.7692,Gîtes Dardanelle
562,Catamarca,AR,82.58,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
565,Dangriga,BZ,80.98,clear sky,16.9692,-88.2321,Chaleanor Hotel
570,Cartagena,CO,80.47,clear sky,10.3997,-75.5144,Hotel Colombia Real - Cartagena
577,Monclova,MX,75.06,clear sky,26.9,-101.4167,Hotel Royal Inn
580,Araguacu,BR,75.42,scattered clouds,-12.9306,-49.8264,Hotel Tocantins
585,San Mateo Del Mar,MX,79.32,clear sky,16.2,-95.0,
589,Sola,VU,83.07,very heavy rain,-13.8833,167.55,Leumerus Bungalows
591,Olinda,BR,81.27,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
597,Sibolga,ID,75.88,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
598,Kathu,TH,78.62,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
600,Iberia,US,75.02,clear sky,29.9502,-91.7507,back to back rv park
604,Morondava,MG,80.69,light rain,-20.2833,44.2833,La Case Bambou
607,Kieta,PG,84.04,light rain,-6.2167,155.6333,Uruna Bay Retreat
611,Gladstone,AU,76.93,scattered clouds,-23.85,151.25,Highpoint International Hotel
612,Christchurch,NZ,83.32,overcast clouds,-43.5333,172.6333,The George
615,Auki,SB,81.23,light rain,-8.7676,160.7034,Auki Motel
616,Pedernales,DO,79.12,few clouds,18.0384,-71.744,Hotel Costa Marina
617,Charters Towers,AU,82.35,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
622,Ngunguru,NZ,75.16,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
624,Tabou,CI,79.0,broken clouds,4.423,-7.3528,hotêl doufoulougou
627,Waingapu,ID,79.65,few clouds,-9.6567,120.2641,Pondok Wisata Elim
628,Point Fortin,TT,80.02,few clouds,10.1833,-61.6833,Jus Les' Suites
630,Vaitape,PF,81.16,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
631,La Asuncion,VE,77.59,clear sky,11.0333,-63.8628,Colinas de Matasiete
636,Blackwater,AU,75.25,overcast clouds,-23.5833,148.8833,Blackwater Motor Inn
637,Tual,ID,82.99,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
644,Kattivakkam,IN,76.06,clear sky,13.2167,80.3167,Euronova Freezer
651,Kloulklubed,PW,82.9,light rain,7.0419,134.2556,Storyboard Beach Resort
662,Upata,VE,80.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
